## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| INSTRUMENTED_POP_JUMP_IF_FALSE | 29,160,720 | 0.0% | 99.6% |  |
| INSTRUMENTED_RESUME | 29,148,840 | 0.0% | 99.7% |  |
| INSTRUMENTED_RETURN_VALUE | 29,142,480 | 0.0% | 99.7% |  |
| LOAD_FAST_AND_CLEAR | 28,734,607 | 0.0% | 99.7% |  |
| LOAD_ATTR_NONDESCRIPTOR_NO_DICT | 27,700,160 | 0.0% | 99.7% | 0.0% |
| GET_YIELD_FROM_ITER | 27,105,541 | 0.0% | 99.8% |  |
| STORE_SLICE | 26,869,166 | 0.0% | 99.8% |  |
| BUILD_SLICE | 19,787,309 | 0.0% | 99.8% |  |
| CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS | 18,663,126 | 0.0% | 99.8% | 9.4% |
| PUSH_EXC_INFO | 15,789,032 | 0.0% | 99.8% |  |
| POP_EXCEPT | 15,788,965 | 0.0% | 99.8% |  |
| CHECK_EXC_MATCH | 15,294,033 | 0.0% | 99.9% |  |
| LOAD_GLOBAL | 14,678,964 | 0.0% | 99.9% |  |
| DICT_MERGE | 14,398,148 | 0.0% | 99.9% |  |
| UNARY_NEGATIVE | 13,974,000 | 0.0% | 99.9% |  |
| STORE_FAST_LOAD_FAST | 11,616,710 | 0.0% | 99.9% |  |
| UNARY_INVERT | 10,425,235 | 0.0% | 99.9% |  |
| MAP_ADD | 9,856,760 | 0.0% | 99.9% |  |
| BUILD_CONST_KEY_MAP | 9,607,856 | 0.0% | 99.9% |  |
| LOAD_NAME | 9,003,000 | 0.0% | 99.9% |  |
| BEFORE_WITH | 8,848,722 | 0.0% | 99.9% |  |
| CALL_TUPLE_1 | 7,248,660 | 0.0% | 100.0% |  |
| LOAD_FAST_CHECK | 6,507,380 | 0.0% | 100.0% |  |
| BINARY_OP_INPLACE_ADD_UNICODE | 6,235,960 | 0.0% | 100.0% |  |
| STORE_GLOBAL | 6,152,040 | 0.0% | 100.0% |  |
| END_ASYNC_FOR | 6,000,000 | 0.0% | 100.0% |  |
| GET_AITER | 6,000,000 | 0.0% | 100.0% |  |
| GET_ANEXT | 6,000,000 | 0.0% | 100.0% |  |
| BEFORE_ASYNC_WITH | 5,053,740 | 0.0% | 100.0% |  |
| RAISE_VARARGS | 4,088,740 | 0.0% | 100.0% |  |
| LOAD_SUPER_ATTR_ATTR | 2,704,740 | 0.0% | 100.0% |  |
| RERAISE | 1,764,071 | 0.0% | 100.0% |  |
| UNPACK_EX | 847,080 | 0.0% | 100.0% |  |
| IMPORT_NAME | 767,722 | 0.0% | 100.0% |  |
| BUILD_SET | 502,688 | 0.0% | 100.0% |  |
| DELETE_FAST | 435,965 | 0.0% | 100.0% |  |
| IMPORT_FROM | 190,140 | 0.0% | 100.0% |  |
| WITH_EXCEPT_START | 141,900 | 0.0% | 100.0% |  |
| DELETE_ATTR | 141,618 | 0.0% | 100.0% |  |
| SET_ADD | 140,520 | 0.0% | 100.0% |  |
| UNPACK_SEQUENCE | 111,378 | 0.0% | 100.0% |  |
| SET_UPDATE | 66,120 | 0.0% | 100.0% |  |
| DICT_UPDATE | 34,766 | 0.0% | 100.0% |  |
| INSTRUMENTED_POP_JUMP_IF_TRUE | 8,550 | 0.0% | 100.0% |  |
| INSTRUMENTED_FOR_ITER | 6,870 | 0.0% | 100.0% |  |
| STORE_NAME | 6,840 | 0.0% | 100.0% |  |
| INSTRUMENTED_JUMP_BACKWARD | 5,850 | 0.0% | 100.0% |  |
| RESUME | 5,307 | 0.0% | 100.0% | 3,475.8% |
| INSTRUMENTED_RETURN_CONST | 4,680 | 0.0% | 100.0% |  |
| LOAD_SUPER_ATTR | 3,860 | 0.0% | 100.0% |  |
| LOAD_LOCALS | 1,380 | 0.0% | 100.0% |  |
| LOAD_FROM_DICT_OR_DEREF | 1,380 | 0.0% | 100.0% |  |
| CLEANUP_THROW | 1,359 | 0.0% | 100.0% |  |
