## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| LOAD_ATTR | 13,598,031 | 2.1% |
| EXTENDED_ARG | 7,255,720 | 1.1% |
| LOAD_ATTR_NONDESCRIPTOR_WITH_VALUES | 3,586,740 | 0.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 348,965,951 | 53.9% |
| LOAD_FAST_LOAD_FAST | 122,411,083 | 18.9% |
| LOAD_GLOBAL_MODULE | 77,804,148 | 12.0% |
| RETURN_CONST | 33,573,429 | 5.2% |
| NOP | 27,285,092 | 4.2% |


</details>

### POP_JUMP_IF_TRUE

<details>
<summary> Successors and predecessors for POP_JUMP_IF_TRUE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 676,635,749 | 54.0% |
| TO_BOOL | 180,904,416 | 14.4% |
| COMPARE_OP_INT | 83,723,563 | 6.7% |
| IS_OP | 57,182,102 | 4.6% |
| CONTAINS_OP | 51,674,281 | 4.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 535,184,218 | 42.7% |
| ENTER_EXECUTOR | 329,911,180 | 26.3% |
| LOAD_GLOBAL_BUILTIN | 127,715,442 | 10.2% |
| LOAD_CONST | 80,778,547 | 6.4% |
| POP_TOP | 50,666,688 | 4.0% |


</details>

### RETURN_CONST

<details>
<summary> Successors and predecessors for RETURN_CONST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 441,482,986 | 27.3% |
| POP_TOP | 307,301,557 | 19.0% |
| STORE_ATTR_SLOT | 226,448,753 | 14.0% |
| STORE_ATTR_INSTANCE_VALUE | 181,001,552 | 11.2% |
| STORE_FAST | 97,883,917 | 6.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 744,695,329 | 46.1% |
| INTERPRETER_EXIT | 526,548,128 | 32.6% |
| EXIT_INIT_CHECK | 79,131,368 | 4.9% |
| END_SEND | 70,875,373 | 4.4% |
| TO_BOOL_BOOL | 66,633,566 | 4.1% |


</details>

### SEND

<details>
<summary> Successors and predecessors for SEND </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 94,136,760 | 66.3% |
| LOAD_CONST | 27,484,880 | 19.4% |
| JUMP_BACKWARD_NO_INTERRUPT | 20,260,521 | 14.3% |
| SEND | 36,584 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| END_SEND | 115,619,921 | 81.5% |
| YIELD_VALUE | 20,261,348 | 14.3% |
| END_ASYNC_FOR | 6,000,000 | 4.2% |
| SEND | 36,584 | 0.0% |
| SEND_GEN | 886 | 0.0% |


</details>

### STORE_ATTR

<details>
<summary> Successors and predecessors for STORE_ATTR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 43,230,229 | 69.2% |
| LOAD_FAST_LOAD_FAST | 10,624,152 | 17.0% |
| CALL | 5,436,780 | 8.7% |
| SWAP | 1,242,370 | 2.0% |
| CALL_KW | 1,200,840 | 1.9% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_DEREF | 26,889,760 | 43.1% |
| LOAD_FAST | 14,168,390 | 22.7% |
| RETURN_CONST | 6,704,884 | 10.7% |
| ENTER_EXECUTOR | 5,521,300 | 8.8% |
| LOAD_CONST | 4,607,448 | 7.4% |


</details>

### STORE_FAST

<details>
<summary> Successors and predecessors for STORE_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| RETURN_VALUE | 764,185,045 | 13.3% |
| LOAD_CONST | 475,780,178 | 8.3% |
| STORE_FAST | 405,188,926 | 7.0% |
| CALL | 366,308,226 | 6.4% |
| BINARY_OP_ADD_INT | 335,770,690 | 5.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 3,023,965,106 | 52.6% |
| LOAD_FAST_LOAD_FAST | 581,017,713 | 10.1% |
| STORE_FAST | 405,188,926 | 7.0% |
| LOAD_GLOBAL_MODULE | 340,576,502 | 5.9% |
| LOAD_GLOBAL_BUILTIN | 331,277,783 | 5.8% |


</details>

### STORE_FAST_STORE_FAST

<details>
<summary> Successors and predecessors for STORE_FAST_STORE_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST_STORE_FAST | 1,539,737,251 | 69.4% |
| UNPACK_SEQUENCE_TUPLE | 228,274,821 | 10.3% |
| UNPACK_SEQUENCE_LIST | 198,207,660 | 8.9% |
| UNPACK_SEQUENCE_TWO_TUPLE | 173,172,031 | 7.8% |
| LOAD_ATTR_SLOT | 45,906,057 | 2.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST_STORE_FAST | 1,539,737,251 | 69.4% |
| LOAD_FAST | 517,732,763 | 23.3% |
| STORE_FAST | 45,517,775 | 2.1% |
| LOAD_FAST_LOAD_FAST | 37,672,744 | 1.7% |
| LOAD_GLOBAL_MODULE | 28,887,836 | 1.3% |


</details>

### SWAP

<details>
<summary> Successors and predecessors for SWAP </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 83,163,718 | 21.3% |
| BINARY_OP_ADD_INT | 73,848,189 | 18.9% |
| SWAP | 53,336,483 | 13.7% |
| BINARY_OP_SUBTRACT_INT | 43,976,489 | 11.3% |
| BINARY_OP | 28,824,034 | 7.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| COPY | 83,066,323 | 21.3% |
| STORE_ATTR_INSTANCE_VALUE | 73,106,587 | 18.8% |
| SWAP | 53,336,483 | 13.7% |
| STORE_ATTR_SLOT | 33,287,992 | 8.5% |
| STORE_SUBSCR_LIST_INT | 27,046,320 | 6.9% |


</details>

### UNPACK_SEQUENCE

<details>
<summary> Successors and predecessors for UNPACK_SEQUENCE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| CALL_METHOD_DESCRIPTOR_NOARGS | 96,160 | 86.3% |
| LOAD_FAST | 9,240 | 8.3% |
| CALL_BUILTIN_CLASS | 2,160 | 1.9% |
| RETURN_VALUE | 1,401 | 1.3% |
| CALL | 481 | 0.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST_STORE_FAST | 105,797 | 95.0% |
| UNPACK_SEQUENCE_TWO_TUPLE | 2,780 | 2.5% |
| STORE_FAST | 1,441 | 1.3% |
| UNPACK_SEQUENCE_TUPLE | 660 | 0.6% |
| LOAD_FAST | 360 | 0.3% |


</details>

### BINARY_OP_ADD_INT

<details>
<summary> Successors and predecessors for BINARY_OP_ADD_INT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 507,839,404 | 70.3% |
| LOAD_FAST | 89,349,647 | 12.4% |
| END_SEND | 29,134,080 | 4.0% |
| BINARY_OP_MULTIPLY_INT | 22,877,040 | 3.2% |
| RETURN_VALUE | 16,870,580 | 2.3% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 335,770,690 | 46.5% |
| RETURN_VALUE | 83,528,024 | 11.6% |
| SWAP | 73,848,189 | 10.2% |
| STORE_DEREF | 46,267,240 | 6.4% |
| LOAD_FAST | 31,497,347 | 4.4% |


</details>

### BINARY_OP_SUBTRACT_FLOAT

<details>
<summary> Successors and predecessors for BINARY_OP_SUBTRACT_FLOAT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR_INSTANCE_VALUE | 29,870,069 | 34.2% |
| BINARY_OP_MULTIPLY_FLOAT | 28,790,280 | 33.0% |
| BINARY_OP_SUBTRACT_FLOAT | 8,820,820 | 10.1% |
| LOAD_FAST | 7,563,784 | 8.7% |
| BINARY_SUBSCR | 7,306,840 | 8.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 29,557,067 | 33.9% |
| SWAP | 19,833,112 | 22.7% |
| STORE_FAST | 16,579,659 | 19.0% |
| BINARY_OP_SUBTRACT_FLOAT | 8,820,820 | 10.1% |
| LOAD_FAST_LOAD_FAST | 5,936,400 | 6.8% |


</details>

### BINARY_SUBSCR_DICT

<details>
<summary> Successors and predecessors for BINARY_SUBSCR_DICT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 151,707,614 | 40.1% |
| LOAD_CONST | 95,669,178 | 25.3% |
| LOAD_FAST_LOAD_FAST | 84,700,221 | 22.4% |
| BINARY_SUBSCR | 20,368,480 | 5.4% |
| CALL_BUILTIN_O | 8,632,560 | 2.3% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RETURN_VALUE | 125,487,589 | 33.1% |
| STORE_FAST | 123,367,968 | 32.6% |
| CONTAINS_OP | 58,126,620 | 15.4% |
| PUSH_NULL | 20,229,360 | 5.3% |
| LOAD_ATTR_METHOD_NO_DICT | 7,158,960 | 1.9% |


</details>

### BINARY_SUBSCR_LIST_INT

<details>
<summary> Successors and predecessors for BINARY_SUBSCR_LIST_INT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 130,456,562 | 39.4% |
| LOAD_CONST | 75,464,852 | 22.8% |
| LOAD_FAST_LOAD_FAST | 57,014,551 | 17.2% |
| COPY | 27,046,320 | 8.2% |
| BINARY_OP_SUBTRACT_INT | 15,839,933 | 4.8% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RETURN_VALUE | 92,006,203 | 28.0% |
| LOAD_CONST | 73,265,040 | 22.3% |
| STORE_FAST | 68,077,925 | 20.7% |
| LOAD_FAST | 39,263,946 | 11.9% |
| BINARY_OP | 14,857,740 | 4.5% |


</details>

### BINARY_SUBSCR_TUPLE_INT

<details>
<summary> Successors and predecessors for BINARY_SUBSCR_TUPLE_INT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 155,177,369 | 96.9% |
| LOAD_FAST | 5,005,220 | 3.1% |
| LOAD_FAST_LOAD_FAST | 1,440 | 0.0% |
| BINARY_SUBSCR | 440 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| CALL | 72,000,260 | 44.9% |
| LOAD_GLOBAL_MODULE | 30,841,060 | 19.3% |
| STORE_FAST | 9,303,980 | 5.8% |
| LOAD_CONST | 7,151,400 | 4.5% |
| LOAD_FAST | 5,913,781 | 3.7% |


</details>

### CALL_ALLOC_AND_ENTER_INIT

<details>
<summary> Successors and predecessors for CALL_ALLOC_AND_ENTER_INIT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 26,859,340 | 33.2% |
| BINARY_OP | 16,474,820 | 20.4% |
| BINARY_OP_MULTIPLY_FLOAT | 8,079,200 | 10.0% |
| RETURN_CONST | 7,864,740 | 9.7% |
| PUSH_NULL | 5,184,320 | 6.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 77,806,028 | 96.2% |
| LOAD_FAST | 1,661,140 | 2.1% |
| COPY_FREE_VARS | 1,325,400 | 1.6% |
| CALL_ALLOC_AND_ENTER_INIT | 32,180 | 0.0% |
| STORE_FAST | 12,520 | 0.0% |


</details>

### CALL_BOUND_METHOD_EXACT_ARGS

<details>
<summary> Successors and predecessors for CALL_BOUND_METHOD_EXACT_ARGS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 50,226,145 | 41.5% |
| LOAD_FAST | 23,535,928 | 19.5% |
| BINARY_OP_MULTIPLY_INT | 22,513,860 | 18.6% |
| RETURN_VALUE | 5,111,100 | 4.2% |
| BINARY_OP | 4,391,240 | 3.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 89,031,340 | 73.6% |
| COPY_FREE_VARS | 26,279,931 | 21.7% |
| GET_AWAITABLE | 5,053,620 | 4.2% |
| MAKE_CELL | 256,701 | 0.2% |
| CALL_PY_EXACT_ARGS | 134,775 | 0.1% |


</details>

### CALL_BUILTIN_CLASS

<details>
<summary> Successors and predecessors for CALL_BUILTIN_CLASS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 32,077,623 | 27.3% |
| CALL_LEN | 21,065,655 | 17.9% |
| CALL_METHOD_DESCRIPTOR_NOARGS | 10,480,848 | 8.9% |
| LOAD_GLOBAL_BUILTIN | 10,237,914 | 8.7% |
| LOAD_GLOBAL_MODULE | 9,559,047 | 8.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| GET_ITER | 44,656,050 | 38.0% |
| STORE_FAST | 18,270,917 | 15.5% |
| BINARY_OP_MULTIPLY_FLOAT | 17,576,640 | 14.9% |
| LOAD_FAST | 7,270,260 | 6.2% |
| BINARY_OP | 4,715,701 | 4.0% |


</details>

### CALL_BUILTIN_FAST

<details>
<summary> Successors and predecessors for CALL_BUILTIN_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_GLOBAL_BUILTIN | 320,497,360 | 47.3% |
| LOAD_CONST | 205,532,488 | 30.3% |
| LOAD_FAST_LOAD_FAST | 73,055,722 | 10.8% |
| LOAD_FAST | 24,914,249 | 3.7% |
| CALL_BUILTIN_FAST | 21,424,840 | 3.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 367,790,498 | 54.3% |
| STORE_FAST | 196,010,142 | 28.9% |
| POP_TOP | 36,193,471 | 5.3% |
| COPY | 27,589,229 | 4.1% |
| CALL_BUILTIN_FAST | 21,424,840 | 3.2% |


</details>

### CALL_BUILTIN_O

<details>
<summary> Successors and predecessors for CALL_BUILTIN_O </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 554,965,552 | 73.9% |
| RETURN_VALUE | 69,467,700 | 9.3% |
| LOAD_CONST | 38,613,318 | 5.1% |
| BINARY_OP_ADD_UNICODE | 19,572,000 | 2.6% |
| BUILD_STRING | 19,276,800 | 2.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 312,321,358 | 41.6% |
| STORE_FAST | 226,386,212 | 30.2% |
| LOAD_CONST | 117,672,484 | 15.7% |
| RETURN_VALUE | 31,782,883 | 4.2% |
| TO_BOOL_BOOL | 15,022,022 | 2.0% |


</details>

### CALL_ISINSTANCE

<details>
<summary> Successors and predecessors for CALL_ISINSTANCE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_GLOBAL_MODULE | 308,774,119 | 50.8% |
| LOAD_GLOBAL_BUILTIN | 195,923,395 | 32.2% |
| LOAD_FAST_LOAD_FAST | 45,404,554 | 7.5% |
| BUILD_TUPLE | 28,984,112 | 4.8% |
| LOAD_ATTR_MODULE | 19,713,384 | 3.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 603,443,569 | 99.2% |
| COPY | 2,216,049 | 0.4% |
| RETURN_VALUE | 1,763,871 | 0.3% |
| STORE_FAST | 627,780 | 0.1% |
| LOAD_FAST | 167,940 | 0.0% |


</details>

### CALL_LEN

<details>
<summary> Successors and predecessors for CALL_LEN </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 184,650,739 | 71.0% |
| LOAD_ATTR_INSTANCE_VALUE | 36,862,897 | 14.2% |
| LOAD_DEREF | 19,024,360 | 7.3% |
| BINARY_SUBSCR_LIST_INT | 5,098,020 | 2.0% |
| BINARY_SUBSCR_DICT | 4,423,680 | 1.7% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 62,941,536 | 24.2% |
| LOAD_FAST | 62,334,811 | 24.0% |
| STORE_FAST | 38,219,945 | 14.7% |
| COMPARE_OP_INT | 27,096,869 | 10.4% |
| CALL_BUILTIN_CLASS | 21,065,655 | 8.1% |


</details>

### CALL_METHOD_DESCRIPTOR_FAST

<details>
<summary> Successors and predecessors for CALL_METHOD_DESCRIPTOR_FAST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 129,241,268 | 44.8% |
| LOAD_FAST_LOAD_FAST | 79,309,123 | 27.5% |
| LOAD_GLOBAL_MODULE | 19,007,868 | 6.6% |
| LOAD_CONST | 18,600,950 | 6.4% |
| LOAD_ATTR_METHOD_NO_DICT | 15,793,652 | 5.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 238,803,128 | 82.8% |
| TO_BOOL_BOOL | 15,693,520 | 5.4% |
| RETURN_VALUE | 13,485,271 | 4.7% |
| CALL_PY_WITH_DEFAULTS | 3,015,720 | 1.0% |
| TO_BOOL_STR | 2,943,480 | 1.0% |


</details>

### CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS

<details>
<summary> Successors and predecessors for CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 10,363,861 | 55.5% |
| LOAD_ATTR_METHOD_NO_DICT | 4,130,959 | 22.1% |
| LOAD_FAST | 2,748,353 | 14.7% |
| LOAD_FAST_LOAD_FAST | 939,723 | 5.0% |
| LOAD_ATTR | 276,827 | 1.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 6,104,594 | 32.7% |
| RETURN_VALUE | 3,492,060 | 18.7% |
| CALL_METHOD_DESCRIPTOR_O | 2,926,840 | 15.7% |
| BINARY_OP | 2,011,020 | 10.8% |
| UNPACK_SEQUENCE_LIST | 1,222,800 | 6.6% |


</details>

### CALL_METHOD_DESCRIPTOR_NOARGS

<details>
<summary> Successors and predecessors for CALL_METHOD_DESCRIPTOR_NOARGS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR | 163,593,409 | 54.5% |
| LOAD_ATTR_METHOD_NO_DICT | 97,033,494 | 32.3% |
| LOAD_ATTR_METHOD_WITH_VALUES | 19,387,500 | 6.5% |
| LOAD_ATTR_METHOD_LAZY_DICT | 8,787,957 | 2.9% |
| ENTER_EXECUTOR | 7,492,440 | 2.5% |

|Successors | Count | Percentage | 
|---|---:|---:|
| TO_BOOL_BOOL | 165,258,931 | 55.1% |
| STORE_FAST | 50,426,381 | 16.8% |
| GET_ITER | 25,836,300 | 8.6% |
| LOAD_GLOBAL_MODULE | 18,939,420 | 6.3% |
| CALL_BUILTIN_CLASS | 10,480,848 | 3.5% |


</details>

### CALL_METHOD_DESCRIPTOR_O

<details>
<summary> Successors and predecessors for CALL_METHOD_DESCRIPTOR_O </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 317,178,762 | 83.9% |
| CALL | 41,615,377 | 11.0% |
| LOAD_ATTR | 3,012,260 | 0.8% |
| CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS | 2,926,840 | 0.8% |
| BINARY_OP_ADD_UNICODE | 2,459,341 | 0.7% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_TOP | 273,959,301 | 72.5% |
| BINARY_OP | 72,001,420 | 19.1% |
| RETURN_VALUE | 19,272,380 | 5.1% |
| STORE_FAST | 3,576,202 | 0.9% |
| LOAD_FAST | 2,885,800 | 0.8% |


</details>

### CALL_PY_EXACT_ARGS

<details>
<summary> Successors and predecessors for CALL_PY_EXACT_ARGS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 789,758,760 | 31.8% |
| LOAD_ATTR_METHOD_WITH_VALUES | 642,881,606 | 25.9% |
| LOAD_FAST_LOAD_FAST | 423,091,783 | 17.1% |
| LOAD_GLOBAL_MODULE | 187,437,033 | 7.6% |
| BINARY_OP_SUBTRACT_INT | 104,864,860 | 4.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 2,157,291,594 | 87.0% |
| RETURN_GENERATOR | 178,712,646 | 7.2% |
| COPY_FREE_VARS | 93,119,078 | 3.8% |
| INSTRUMENTED_RESUME | 29,144,280 | 1.2% |
| MAKE_CELL | 21,730,574 | 0.9% |


</details>

### CALL_PY_WITH_DEFAULTS

<details>
<summary> Successors and predecessors for CALL_PY_WITH_DEFAULTS </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 83,240,239 | 41.6% |
| LOAD_FAST | 29,929,859 | 14.9% |
| LOAD_FAST_LOAD_FAST | 24,420,280 | 12.2% |
| BINARY_OP_ADD_INT | 16,803,920 | 8.4% |
| LOAD_GLOBAL_MODULE | 12,864,898 | 6.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 181,664,699 | 90.7% |
| RETURN_GENERATOR | 12,982,690 | 6.5% |
| COPY_FREE_VARS | 4,432,562 | 2.2% |
| MAKE_CELL | 1,096,864 | 0.5% |
| CALL_PY_EXACT_ARGS | 90,420 | 0.0% |


</details>

### CALL_TYPE_1

<details>
<summary> Successors and predecessors for CALL_TYPE_1 </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 252,116,723 | 98.6% |
| LOAD_CONST | 3,616,020 | 1.4% |
| BINARY_SUBSCR_TUPLE_INT | 66,000 | 0.0% |
| LOAD_GLOBAL_BUILTIN | 19,240 | 0.0% |
| CALL | 440 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 197,788,368 | 77.3% |
| LOAD_GLOBAL_MODULE | 27,086,701 | 10.6% |
| LOAD_GLOBAL_BUILTIN | 13,947,860 | 5.5% |
| CALL_PY_EXACT_ARGS | 6,322,369 | 2.5% |
| IS_OP | 3,036,240 | 1.2% |


</details>

### COMPARE_OP_INT

<details>
<summary> Successors and predecessors for COMPARE_OP_INT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 470,172,332 | 40.9% |
| LOAD_FAST | 119,806,796 | 10.4% |
| LOAD_ATTR_INSTANCE_VALUE | 102,399,578 | 8.9% |
| LOAD_FAST_LOAD_FAST | 101,513,161 | 8.8% |
| COPY | 81,956,021 | 7.1% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 986,846,229 | 85.8% |
| POP_JUMP_IF_TRUE | 83,723,563 | 7.3% |
| RETURN_VALUE | 33,254,781 | 2.9% |
| INSTRUMENTED_POP_JUMP_IF_FALSE | 29,134,200 | 2.5% |
| LOAD_FAST | 15,826,320 | 1.4% |


</details>

### COMPARE_OP_STR

<details>
<summary> Successors and predecessors for COMPARE_OP_STR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 197,473,865 | 92.1% |
| LOAD_GLOBAL_MODULE | 4,531,370 | 2.1% |
| RETURN_VALUE | 3,333,460 | 1.6% |
| LOAD_FAST | 3,301,303 | 1.5% |
| LOAD_ATTR_INSTANCE_VALUE | 2,549,340 | 1.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| POP_JUMP_IF_FALSE | 203,486,385 | 95.0% |
| RETURN_VALUE | 3,479,820 | 1.6% |
| COPY | 2,575,743 | 1.2% |
| POP_JUMP_IF_TRUE | 2,523,844 | 1.2% |
| YIELD_VALUE | 1,200,360 | 0.6% |


</details>

### FOR_ITER_LIST

<details>
<summary> Successors and predecessors for FOR_ITER_LIST </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 208,083,950 | 47.0% |
| GET_ITER | 148,425,357 | 33.5% |
| LOAD_FAST | 55,210,475 | 12.5% |
| JUMP_BACKWARD | 19,142,484 | 4.3% |
| EXTENDED_ARG | 6,866,280 | 1.6% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 154,167,893 | 34.8% |
| RETURN_CONST | 90,589,412 | 20.5% |
| UNPACK_SEQUENCE_TWO_TUPLE | 56,878,589 | 12.8% |
| LOAD_FAST_LOAD_FAST | 49,509,880 | 11.2% |
| LOAD_FAST | 42,776,501 | 9.7% |


</details>

### FOR_ITER_RANGE

<details>
<summary> Successors and predecessors for FOR_ITER_RANGE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 36,484,975 | 44.1% |
| LOAD_FAST | 21,531,300 | 26.0% |
| GET_ITER | 16,632,844 | 20.1% |
| SWAP | 6,653,760 | 8.0% |
| JUMP_BACKWARD | 1,424,122 | 1.7% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 27,995,112 | 33.8% |
| RETURN_CONST | 21,845,880 | 26.4% |
| ENTER_EXECUTOR | 11,490,020 | 13.9% |
| LOAD_CONST | 5,889,741 | 7.1% |
| SWAP | 5,107,980 | 6.2% |


</details>

### FOR_ITER_TUPLE

<details>
<summary> Successors and predecessors for FOR_ITER_TUPLE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| ENTER_EXECUTOR | 116,801,865 | 50.9% |
| GET_ITER | 109,335,241 | 47.6% |
| LOAD_FAST | 1,261,982 | 0.5% |
| SWAP | 1,149,860 | 0.5% |
| FOR_ITER_LIST | 959,800 | 0.4% |

|Successors | Count | Percentage | 
|---|---:|---:|
| STORE_FAST | 118,171,903 | 51.5% |
| LOAD_FAST | 48,525,388 | 21.1% |
| LOAD_FAST_LOAD_FAST | 34,769,340 | 15.1% |
| RETURN_CONST | 14,476,865 | 6.3% |
| LOAD_GLOBAL_MODULE | 7,893,972 | 3.4% |


</details>

### LOAD_ATTR_INSTANCE_VALUE

<details>
<summary> Successors and predecessors for LOAD_ATTR_INSTANCE_VALUE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 3,432,432,861 | 88.8% |
| LOAD_FAST_LOAD_FAST | 228,318,752 | 5.9% |
| COPY | 72,761,707 | 1.9% |
| LOAD_ATTR_INSTANCE_VALUE | 46,962,605 | 1.2% |
| ENTER_EXECUTOR | 38,122,261 | 1.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 797,860,574 | 20.6% |
| TO_BOOL_BOOL | 647,570,539 | 16.8% |
| LOAD_ATTR_METHOD_NO_DICT | 285,027,218 | 7.4% |
| RETURN_VALUE | 272,775,695 | 7.1% |
| STORE_FAST | 145,390,538 | 3.8% |


</details>

### LOAD_ATTR_METHOD_LAZY_DICT

<details>
<summary> Successors and predecessors for LOAD_ATTR_METHOD_LAZY_DICT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_ATTR_INSTANCE_VALUE | 51,015,660 | 76.9% |
| LOAD_FAST | 15,287,296 | 23.1% |
| RETURN_VALUE | 5,760 | 0.0% |
| LOAD_ATTR | 400 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 54,663,028 | 82.4% |
| CALL_METHOD_DESCRIPTOR_NOARGS | 8,787,957 | 13.3% |
| LOAD_FAST_LOAD_FAST | 2,457,600 | 3.7% |
| CALL_METHOD_DESCRIPTOR_FAST | 188,800 | 0.3% |
| CALL | 180,891 | 0.3% |


</details>

### LOAD_ATTR_METHOD_NO_DICT

<details>
<summary> Successors and predecessors for LOAD_ATTR_METHOD_NO_DICT </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 413,174,653 | 41.8% |
| LOAD_ATTR_INSTANCE_VALUE | 285,027,218 | 28.9% |
| LOAD_CONST | 88,954,089 | 9.0% |
| LOAD_GLOBAL_MODULE | 59,871,655 | 6.1% |
| LOAD_DEREF | 32,509,001 | 3.3% |

|Successors | Count | Percentage | 
|---|---:|---:|
